stream_id;channel_name;tivione_epg_id;epgshare_id;score;method
1172151;┃UK┃ NAT GEO HEVC FHD;natgeo.uk;Nat.Geo.HD.uk;1.000;EXACT_STRICT
1172150;┃UK┃ NAT GEO WILD HEVC FHD;natgeowild.uk;NatGeoWild.HD.uk;1.000;FUZZY_STRICT
1172168;┃UK┃ TLC HEVC FHD;tlc.uk;TLC.HD.uk;1.000;EXACT_STRICT
827934;┃UK┃ MTV 80'S;;MTV.80s.uk;1.000;EXACT_STRICT
827930;┃UK┃ NOW 70'S;now70s.uk;NOW.70s.uk;1.000;EXACT_STRICT
827929;┃UK┃ NOW 80'S;now80s.uk;NOW.80s.uk;1.000;EXACT_STRICT
827928;┃UK┃ NOW ROCK;;Now.Rock.uk;1.000;EXACT_STRICT
828039;┃UK┃ BRIT ASIA TV;britasiatv.uk;Brit.Asia.TV.uk;1.000;EXACT_STRICT
1174213;┃UK┃ TNT SPORTS ULTIMATE 4K;tntsportsultimateuhd.uk;TNT.Sports.Ultimate.HD.uk;1.000;EXACT_STRICT
1174231;┃UK┃ TNT SPORTS 1 HEVC FHD;tntsports1.uk;TNT.Sports.1.HD.uk;1.000;EXACT_STRICT
1174232;┃UK┃ TNT SPORTS 2 HEVC FHD;tntsports2.uk;TNT.Sports.2.HD.uk;1.000;EXACT_STRICT
1174233;┃UK┃ TNT SPORTS 3 HEVC FHD;tntsports3.uk;TNT.Sports.3.HD.uk;1.000;EXACT_STRICT
1174234;┃UK┃ TNT SPORTS 4 HEVC FHD;tntsports4.uk;TNT.Sports.4.HD.uk;1.000;EXACT_STRICT
1174226;┃UK┃ TNT SPORTS 1 HEVC HD;tntsports1.uk;TNT.Sports.1.HD.uk;1.000;EXACT_STRICT
1174227;┃UK┃ TNT SPORTS 2 HEVC HD;tntsports2.uk;TNT.Sports.2.HD.uk;1.000;EXACT_STRICT
